yr,dolores_near_cisco,duchesne_near_randlett,san_rafael_near_green_river,san_juan_near_archuleta,san_juan_near_bluff
1906,645028,1039504,267506,1460628,2567296
1907,659614,1563780,276701,1174787,2114555
1908,438902,678560,148481,1232047,1961221
1909,975058,1557070,308393,2126329,3531763
1910,777540,768966,316914,1245046,2089742
1911,826164,730057,218214,2047683,3194451
1912,991835,990912,257414,1728370,2806713
1913,897618,879318,229523,1105793,2024721
1914,920013,1228970,327656,1584591,3025021
1915,761748,662607,162470,1603375,2870610
1916,1490852,987749,301856,2112562,4059165
1917,1126899,1486210,344868,1756366,3040768
1918,373728,813739,205481,924973,1784862
1919,769022,470983,152322,1408281,2634055
1920,1368698,1060645,297142,2186184,4189047
1921,1400601,1225778,311152,1716863,3151542
1922,1163627,1149175,243780,1572389,2893735
1923,948837,1183033,268358,1454040,2732082
1924,667402,579557,191420,1148289,2116774
1925,720367,766405,195182,1197828,2331768
1926,760033,706481,239890,1232578,2223464
1927,1215579,1003456,290018,1981714,3748518
1928,827577,923698,254784,871050,1711255
1929,1348452,1131169,302346,1665844,3310018
1930,969999,795484,203154,915108,1778649
1931,618841,343816,115074,727235,1339353
1932,1125994,876473,211951,1902998,3018578
1933,476071,604002,141767,833369,1549414
1934,233522,130301,64790,448492,854988
1935,768870,465445,140960,1662911,2454538
1936,776222,719182,193108,1077112,1883836
1937,898800,782225,201570,1503055,2517294
1938,1064700,892308,249913,1611444,2696302
1939,508000,468845,131890,805473,1368003
1940,643300,445917,130597,692262,1385360
1941,1707200,900692,221877,2813212,5122322
1942,1496600,801395,240398,1447555,2462506
1943,761600,738927,157640,867633,1654545
1944,1146800,998635,261816,1343593,2477026
1945,811300,693742,168407,1020698,1834064
1946,454600,612813,145315,550735,1094293
1947,699000,855625,213245,871029,1875663
1948,959800,577321,144069,1290036,2319018
1949,974500,955004,215361,1509590,2660732
1950,514800,883968,114594,618020,1044339
1951,296200,752060,135285,464729,930863
1952,1253200,1412923,383039,1664460,2818947
1953,442700,587109,133739,619537,1180116
1954,345700,468228,85310,642259,1269030
1955,484500,533542,88893,602047,1109510
1956,403700,635437,84649,615792,1094466
1957,1303100,785767,239832,1757307,3128163
1958,1164100,740428,234774,1419650,2580845
1959,289800,425758,67712,522441,988970
1960,633400,436122,99404,1141069,1905064
1961,526300,408809,98195,864777,1525410
1962,708500,870709,177941,1035305,1801887
1963,377800,532096,106284,612920,1146082
1964,466800,682144,119845,589436,1106246
1965,1027200,1240143,245179,1678356,2855011
1966,620300,597744,101049,1045374,1824316
1967,390500,961651,126587,681167,1212037
1968,673800,912941,140143,962374,1795196
1969,779000,993301,217265,1297784,2315085
1970,729400,579608,159975,934798,1830518
1971,514400,871114,115763,659406,1492514
1972,314241,826411,107931,748468,1697538
1973,1340515,1053020,220129,1882864,3539083
1974,503049,674512,117193,523643,963635
1975,1083364,968648,172730,1542144,2673386
1976,557520,545346,73028,830093,1368099
1977,201788,237529,41494,294987,609322
1978,910490,674355,152468,835482,1620792
1979,1274136,661301,155936,2058222,3665919
1980,1224914,963154,246721,1544207,2849505
1981,415816,390207,101355,655233,1183099
1982,928418,939525,202134,1379280,2397819
1983,1653924,1495880,428520,1513744,2881164
1984,1490509,1099938,451083,1373967,2444954
1985,1452112,749903,250590,1997642,3248346
1986,1271134,1384889,216634,1839163,3374372
1987,1247735,812288,129637,1624210,3036286
1988,598604,462383,99512,862229,1736266
1989,523129,425967,82847,851999,1478105
1990,378547,494957,75884,886232,1543761
1991,609055,564119,124890,1041318,1740581
1992,779664,433465,108307,1135469,1920275
1993,1524472,782628,174979,1631485,2895351
1994,615707,536717,118436,1076870,1634037
1995,1168698,1144920,223673,1566636,2565919
1996,481132,778578,142766,489887,970602
1997,1243042,1236275,209073,1588490,2907434
1998,861730,1224747,197225,992546,1780219
1999,815706,1022028,160442,1296007,2339717
2000,550577,535249,106419,502208,1039143
2001,545883,635576,104512,1077445,1722021
2002,224259,396069,77000,169665,528673
2003,449888,479182,100283,568270,1123926
2004,568303,474242,98376,940756,1553501
2005,1070008,1242510,196926,1675569,2846196
2006,573706,790746,236548,834633,1568556
2007,707066,455254,133623,1042277,1770393
2008,940168,571919,139662,1423501,2257820
2009,631462,605138,135535,899694,1476829
2010,706009,577391,128059,943462,1583760
2011,842533,1471509,316874,818705,1365751
2012,529753,477596,120797,551539,917494
2013,456490,499113,147289,733741,1326798
2014,633493,506485,133095,811028,1420643
2015,666586,456806,121710,997233,1847748
2016,773373,635669,112348,932091,1577472
5-Jul,879500,1113359,207872,1245073,1959715
5-Jul,275536,537929,104498,363081,510676
2019,1143737,1097340,256268,1471393,2408877